provinsi;kode_provinsi;tahun;luas panen (ha);produktivitas (ku/ha);produksi (ton);jumlah penduduk ;luas provinsi (ha);produksi beras (ton);proyeksi konsumsi rumah tangga(ton);surplus/ defisit(ton);surplus/ defisit(%)*;harga beras(Rp);suhu;curah hujan (mm);penyinaran matahari (%);;
SULAWESI TENGGARA;74;2021;127.517;41.57;530.029;2.659.200;3.806.770;304.385;248.578;55.807;22,45;9.800;28,02;;;;
SULAWESI TENGGARA;74;2022;118.259;40.50;478.958;2.701.700;3.615.971;308.681;271.751;36.930;13,59;10.749;28,02;;;;
SULAWESI UTARA;71;2018;70.353;46.47;326.930;2.474.400;1.385.164;182.766;246.405;-63.639;-25,83;10.850;26,82;;;;
SULAWESI UTARA;71;2019;62.020;44.79;277.776;2.494.100;1.385.164;155.288;223.571;-68.283;-30,54;10.830;27,47;;;;
SULAWESI UTARA;71;2020;61.828;40.25;248.879;2.621.900;1.385.164;139.133;239.434;-100.301;-41,89;11.150;27,77;;;;
SULAWESI UTARA;71;2021;59.183;39.35;232.885;2.638.600;1.385.164;130.866;257.425;-126.559;-49,16;9.500;26,52;;;;
SULAWESI UTARA;71;2022;58.196;41.88;243.730;2.659.500;1.450.028;136.960;281.423;-144.463;-51,33;11.500;26,41;;;;
SUMATERA BARAT;13;2018;313.051;47.37;1.483.076;5.411.800;4.201.289;855.735;548.630;307.105;55,98;11.880;25,28;;;;
SUMATERA BARAT;13;2019;311.671;47.58;1.482.996;5.479.500;4.201.289;854;439.894;-439.040;-99,81;12.100;25,50;;;;
SUMATERA BARAT;13;2020;295.664;46.92;1.387.269;5.534.500;4.201.289;799.123;438.994;360.129;82,04;12.700;26,00;;;;
SUMATERA BARAT;13;2021;272.392;48.36;1.317.209;5.580.200;4.201.289;763;452.668;-451.905;-99,83;12.250;27,27;;;;
SUMATERA BARAT;13;2022;271.883;50.52;1.373.532;5.640.600;4.211.954;795.306;494.867;300.439;60,71;14.541;26,05;;;;
SUMATERA SELATAN;16;2018;581.575;51.48;2.994.192;8.391.500;9.159.243;1.710.573;752.610;957.963;127,29;9.940;27,50;;;;
SUMATERA SELATAN;16;2019;539.317;48.27;2.603.396;8.497.200;9.159.243;1.487.312;677.057;810.255;119,67;10.580;27,80;;;;
